pair,score
Rasmus Andersson Oliver Kylington,343.089993476868
Zdeno Chara Sebastian Aho,343.036009180546
John Carlson Trevor van Riemsdyk,342.828998017311
Mark Giordano Jake Muzzin,342.807002902031
Tyson Barrie Markus Niemelainen,342.719002723694
Adam Pelech Noah Dobson,342.492001068592
Kevin Connauton Gustav Forsling,341.835005438328
Andrew Peeke Jake Bean,341.482000148296
Torey Krug Niko Mikkola,341.198994511366
John Klingberg Joel Hanley,340.980000627041
Chad Ruhwedel Mark Friedman,340.445000231266
Gabriel Carlsson Andrew Peeke,340.408006954193
Erik Karlsson Jacob Middleton,340.134004747868
Anton Stralman Shayne Gostisbehere,339.880001282692
Ben Chiarot Joel Edmundson,339.364995610714
Mark Giordano Jamie Oleksiak,338.446002030373
Jordan Oesterle Gustav Lindstrom,337.841004872322
Dean Kukan Andrew Peeke,337.727004659176
Roman Josi Mark Borowiecki,337.512001943588
Matt Grzelcyk Urho Vaakanainen,336.995998167992
Jacob Trouba Braden Schneider,336.622002112865
Carson Soucy Vince Dunn,336.606991457939
Dougie Hamilton Ryan Graves,336.588997757435
Calvin de Haan Connor Murphy,336.289003038406
Marc Staal Gustav Lindstrom,336.260001194477
Andy Greene Sebastian Aho,335.683005404472
Calvin de Haan Riley Stillman,335.630999612808
Mark Borowiecki Matthew Benning,335.398002791405
Adam Larsson Jeremy Lauzon,335.290003609657
Jake McCabe Caleb Jones,334.872003042698
Brayden McNabb Dylan Coghlan,334.634996414185
Mark Pysyk Henri Jokiharju,334.254000210762
Justin Schultz Martin Fehervary,333.847994303703
Adam Pelech Sebastian Aho,333.382003200054
Ryan Pulock Robin Salo,333.183995866775
Chris Wideman Brett Kulak,333.173998856544
K'Andre Miller Braden Schneider,332.102996039391
Dylan DeMelo Josh Morrissey,331.535996901989
Duncan Keith William Lagesson,331.429997301102
Thomas Chabot Artem Zub,331.238007283211
Troy Stecher Sean Durzi,331.211003684998
P.K. Subban Ty Smith,330.896997082233
Travis Hamonic Thomas Chabot,330.658001029491
Justin Schultz Nick Jensen,330.656003320217
Jamie Oleksiak Vince Dunn,330.545995020866
Alex Goligoski Jon Merrill,329.683987796307
Ben Chiarot Brandon Montour,329.272999703884
Michael Del Zotto Erik Brannstrom,329.143000638485
Brian Dumoulin Mark Friedman,328.77200319767
Mark Pysyk Robert Hagg,328.491007268429
Danny DeKeyser Gustav Lindstrom,328.03900128603
Cale Makar Bowen Byram,327.979996323586
Marco Scandella Torey Krug,327.824991726875
David Savard Ben Chiarot,327.591001063585
Troy Stecher Jordan Spence,327.001004123688
Marc Staal Jordan Oesterle,326.927002251148
Roman Josi Jeremy Lauzon,326.913003706932
Mark Pysyk Mattias Samuelsson,326.890000903607
Ryan Murray Bowen Byram,326.684002536535
Mark Friedman John Marino,326.566994595528
Robert Bortuzzo Torey Krug,325.897005492449
Derek Forbort Mike Reilly,325.301990842819
Matthew Benning Jeremy Lauzon,324.799004554749
Alex Goligoski Jordie Benn,324.679996490479
Sean Durzi Tobias Bjornfot,324.403002643585
Justin Faulk Jake Walman,324.336995756626
Mike Reilly Charlie McAvoy,324.27999150753
Olli Maatta Kale Clague,324.195001661778
Luke Schenn Brad Hunt,323.660003066063
Jani Hakanpaa John Klingberg,323.452000421286
Victor Mete Nikita Zaitsev,323.159000790119
